[4, 3, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 30 0 34 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	1	82
[5, 3, 4, 3]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 30 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 3, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 3, 3, 2]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 26 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	1	82
[6, 4, 3, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 42 0 26 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 3, 2, 2]	-p --exact -w 40 -h 40 --halfplanes 30 0 42 0 26 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[4, 2, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 26 0 34 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	1	82
[5, 2, 4, 2]	-p --exact -w 40 -h 40 --halfplanes 26 0 38 0 26 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 4, 1, 3]	-p --exact -w 40 -h 40 --halfplanes 34 0 42 0 30 0 22 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 1, 3]	-p --exact -w 40 -h 40 --halfplanes 38 0 34 0 22 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 1, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 26 0 22 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 1, 4]	-p --exact -w 40 -h 40 --halfplanes 38 0 34 0 22 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 5, 3, 1]	-p --exact -w 40 -h 40 --halfplanes 38 0 38 0 22 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[4, 4, 4, 1]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 22 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 3, 1]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 22 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 5, 2, 1]	-p --exact -w 40 -h 40 --halfplanes 38 0 38 0 22 0 26 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 4, 1, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 42 0 26 0 22 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 4, 1]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 22 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 3, 4, 1]	-p --exact -w 40 -h 40 --halfplanes 30 0 38 0 22 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 4, 3, 1]	-p --exact -w 40 -h 40 --halfplanes 34 0 42 0 22 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 3, 3, 1]	-p --exact -w 40 -h 40 --halfplanes 30 0 42 0 22 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 2, 4, 1]	-p --exact -w 40 -h 40 --halfplanes 26 0 38 0 22 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[6, 4, 0, 2]	-p --exact -w 40 -h 40 --halfplanes 34 0 42 0 26 0 18 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 0, 3]	-p --exact -w 40 -h 40 --halfplanes 38 0 34 0 18 0 30 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[4, 4, 4, 0]	-p --exact -w 40 -h 40 --halfplanes 34 0 34 0 18 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 4, 4, 0]	-p --exact -w 40 -h 40 --halfplanes 34 0 38 0 18 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
[5, 2, 4, 0]	-p --exact -w 40 -h 40 --halfplanes 26 0 38 0 18 0 34 0 -v 5D --rhull --potential	None	None	None	0	1	0	None
